[11/10/2016 11:48:07]  Starting Greedy Search
[11/10/2016 11:48:07]  Child Node :: Cost - 10	 Move - r	 PlayerPos - (3, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 10	 Move - l	 PlayerPos - (1, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 10	 Move - r	 PlayerPos - (3, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 11	 Move - r	 PlayerPos - (4, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 11	 Move - d	 PlayerPos - (3, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 11	 Move - l	 PlayerPos - (2, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 9	 Move - d	 PlayerPos - (1, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 10	 Move - u	 PlayerPos - (1, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 11	 Move - r	 PlayerPos - (4, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - u	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - r	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - d	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - l	 PlayerPos - (3, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 11	 Move - d	 PlayerPos - (3, 5) :: Deadlock
[11/10/2016 11:48:07]  Dequeued :: Cost - 12	 Move - d	 PlayerPos - (4, 5) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 13	 Move - u	 PlayerPos - (4, 4) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 13	 Move - r	 PlayerPos - (5, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 13	 Move - d	 PlayerPos - (4, 6) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 10	 Move - u	 PlayerPos - (2, 3) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 11	 Move - u	 PlayerPos - (2, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 11	 Move - d	 PlayerPos - (2, 4) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 11	 Move - l	 PlayerPos - (1, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Dequeued :: Cost - 5	 Move - r	 PlayerPos - (4, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 6	 Move - u	 PlayerPos - (4, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 6	 Move - r	 PlayerPos - (5, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 6	 Move - d	 PlayerPos - (4, 5) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 6	 Move - l	 PlayerPos - (3, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 8	 Move - u	 PlayerPos - (1, 2) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 9	 Move - u	 PlayerPos - (1, 1) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 9	 Move - r	 PlayerPos - (2, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 9	 Move - d	 PlayerPos - (1, 3) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 11	 Move - l	 PlayerPos - (1, 3) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - u	 PlayerPos - (1, 2) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - r	 PlayerPos - (2, 3) :: Redundant
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - d	 PlayerPos - (1, 4) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 10	 Move - u	 PlayerPos - (1, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 11	 Move - u	 PlayerPos - (1, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 11	 Move - r	 PlayerPos - (2, 4) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 11	 Move - d	 PlayerPos - (1, 5) :: Redundant
[11/10/2016 11:48:07]  Dequeued :: Cost - 11	 Move - r	 PlayerPos - (2, 4) :: Exploring
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - u	 PlayerPos - (2, 3) :: Added to Fringe
[11/10/2016 11:48:07]  Child Node :: Cost - 12	 Move - r	 PlayerPos - (3, 4) :: Added to Fringe
